Waktu,ID_Armada,Tipe,Aksi,Lokasi,Muatan_kg,Jarak_Tempuh,Total_Jarak_Sementara,Pesan_Log
10:44,Gerobak_1,Gerobak,Patroli Lewat,RG_26,0,1,69,Melewati persimpangan
10:45,Gerobak_2,Gerobak,Patroli Lewat,RG_12,0,1,71,Melewati persimpangan
10:45,Gerobak_7,Gerobak,Ambil Sampah,RU_7,2,2,29,Intercept sampah! Sisa kapasitas: 1kg
10:45,Truk_2,Truk,Patroli Lewat,RU_38,0,2,22,Melewati persimpangan
10:46,Gerobak_6,Gerobak,Patroli Lewat,RU_28,0,2,34,Melewati persimpangan
10:47,Gerobak_1,Gerobak,Patroli Lewat,RG_27,0,1,70,Melewati persimpangan
10:47,Gerobak_5,Gerobak,Ambil Sampah,RU_11,1,2,33,Intercept sampah! Sisa kapasitas: 7kg
10:48,Gerobak_2,Gerobak,Patroli Lewat,RG_13,0,1,72,Melewati persimpangan
10:48,Truk_2,Truk,Patroli Lewat,RU_39,0,2,24,Melewati persimpangan
10:50,Gerobak_1,Gerobak,Patroli Lewat,RG_28,0,1,71,Melewati persimpangan
10:50,Gerobak_3,Gerobak,Ambil Sampah,RU_16,5,2,71,Intercept sampah! Sisa kapasitas: 6kg
10:50,Gerobak_4,Gerobak,Patroli Lewat,RU_36,0,2,83,Melewati persimpangan
10:51,Gerobak_2,Gerobak,Patroli Lewat,RG_12,0,1,73,Melewati persimpangan
10:51,Truk_1,Truk,Ambil Sampah,RU_10,2,2,26,Intercept sampah! Sisa kapasitas: 184kg
10:51,Truk_2,Truk,Patroli Lewat,RU_14,0,3,27,Melewati persimpangan
10:52,Gerobak_6,Gerobak,Ambil Sampah,RU_27,1,2,36,Intercept sampah! Sisa kapasitas: 9kg
10:53,Gerobak_1,Gerobak,Patroli Lewat,RG_34,0,1,72,Melewati persimpangan
10:54,Gerobak_2,Gerobak,Patroli Lewat,RG_11,0,1,74,Melewati persimpangan
10:54,Truk_2,Truk,Patroli Lewat,RU_15,0,2,29,Melewati persimpangan
10:55,Gerobak_5,Gerobak,Patroli Lewat,RU_10,0,2,35,Melewati persimpangan
10:55,Gerobak_7,Gerobak,Ambil Sampah,RU_8,1,2,31,Intercept sampah! Sisa kapasitas: 0kg
10:56,Gerobak_1,Gerobak,Patroli Lewat,RG_35,0,1,73,Melewati persimpangan
10:56,Gerobak_4,Gerobak,Patroli Lewat,RU_37,0,2,85,Melewati persimpangan
10:56,Truk_1,Truk,Ambil Sampah,RU_9,1,2,28,Intercept sampah! Sisa kapasitas: 183kg
10:57,Gerobak_2,Gerobak,Patroli Lewat,RU_43,0,1,75,Melewati persimpangan
10:57,Truk_2,Truk,Patroli Lewat,RU_16,0,2,31,Melewati persimpangan
10:59,Gerobak_1,Gerobak,Patroli Lewat,RG_36,0,1,74,Melewati persimpangan
11:00,Gerobak_2,Gerobak,Patroli Lewat,RU_42,0,2,77,Melewati persimpangan
11:00,Gerobak_6,Gerobak,Patroli Lewat,RU_26,0,2,38,Melewati persimpangan
11:00,Truk_2,Truk,Ambil Sampah,RU_17,2,2,33,Intercept sampah! Sisa kapasitas: 183kg
11:00,Truk_3,Truk,Patroli Lewat,RU_25,0,4,4,Melewati persimpangan
11:01,Gerobak_5,Gerobak,Patroli Lewat,RU_9,0,2,37,Melewati persimpangan
11:01,Truk_1,Truk,Ambil Sampah,RU_8,3,2,30,Intercept sampah! Sisa kapasitas: 180kg
11:02,Gerobak_1,Gerobak,Patroli Lewat,RG_37,0,1,75,Melewati persimpangan
11:02,Gerobak_4,Gerobak,Patroli Lewat,RG_26,0,1,86,Melewati persimpangan
11:03,Gerobak_7,Gerobak,Patroli Lewat,RU_7,0,2,33,Melewati persimpangan
11:03,Truk_3,Truk,Ambil Sampah,RU_24,3,2,6,Intercept sampah! Sisa kapasitas: 197kg
11:05,Gerobak_1,Gerobak,Patroli Lewat,RG_38,0,1,76,Melewati persimpangan
11:05,Gerobak_4,Gerobak,Patroli Lewat,RU_37,0,1,87,Melewati persimpangan
11:05,Truk_2,Truk,Ambil Sampah,RU_18,3,2,35,Intercept sampah! Sisa kapasitas: 180kg
11:06,Gerobak_2,Gerobak,Patroli Lewat,RU_41,0,2,79,Melewati persimpangan
11:06,Gerobak_3,Gerobak,Patroli Lewat,RU_15,0,2,73,Melewati persimpangan
11:06,Gerobak_6,Gerobak,Patroli Lewat,RU_25,0,2,40,Melewati persimpangan
11:06,Truk_1,Truk,Patroli Lewat,RU_9,0,2,32,Melewati persimpangan
11:07,Gerobak_5,Gerobak,Patroli Lewat,RU_8,0,2,39,Melewati persimpangan
11:08,Gerobak_1,Gerobak,Patroli Lewat,RG_39,0,1,77,Melewati persimpangan
11:08,Gerobak_4,Gerobak,Patroli Lewat,RG_26,0,1,88,Melewati persimpangan
11:08,Truk_3,Truk,Patroli Lewat,RU_23,0,2,8,Melewati persimpangan
11:09,Gerobak_7,Gerobak,Patroli Lewat,RU_8,0,2,35,Melewati persimpangan
11:09,Truk_1,Truk,Patroli Lewat,RU_10,0,2,34,Melewati persimpangan
11:10,Truk_2,Truk,Ambil Sampah,RU_19,2,2,37,Intercept sampah! Sisa kapasitas: 178kg
11:11,Gerobak_1,Gerobak,Ambil Sampah,RG_40,5,1,78,Intercept sampah! Sisa kapasitas: 10kg
11:11,Gerobak_4,Gerobak,Patroli Lewat,RG_27,0,1,89,Melewati persimpangan
11:11,Truk_3,Truk,Patroli Lewat,RU_22,0,3,11,Melewati persimpangan
11:12,Gerobak_2,Gerobak,Patroli Lewat,RU_11,0,2,81,Melewati persimpangan
11:12,Gerobak_3,Gerobak,Patroli Lewat,RU_14,0,2,75,Melewati persimpangan
11:12,Gerobak_6,Gerobak,Patroli Lewat,RU_24,0,2,42,Melewati persimpangan
11:12,Truk_1,Truk,Patroli Lewat,RU_11,0,2,36,Melewati persimpangan
11:13,Gerobak_5,Gerobak,Ambil Sampah,RG_1,1,1,40,Intercept sampah! Sisa kapasitas: 6kg
11:14,Gerobak_4,Gerobak,Patroli Lewat,RG_28,0,1,90,Melewati persimpangan
11:14,Truk_3,Truk,Patroli Lewat,RU_21,0,2,13,Melewati persimpangan
11:15,Gerobak_7,Gerobak,Patroli Lewat,RU_9,0,2,37,Melewati persimpangan
11:15,Truk_1,Truk,Patroli Lewat,RU_12,0,2,38,Melewati persimpangan
11:15,Truk_2,Truk,Ambil Sampah,RU_20,2,2,39,Intercept sampah! Sisa kapasitas: 176kg
11:17,Gerobak_4,Gerobak,Patroli Lewat,RG_34,0,1,91,Melewati persimpangan
11:17,Truk_3,Truk,Patroli Lewat,RU_4,0,2,15,Melewati persimpangan
11:18,Gerobak_2,Gerobak,Transfer ke Truk,RU_12,15,2,83,Rendezvous sukses dengan Truk_1
11:18,Gerobak_3,Gerobak,Patroli Lewat,RU_39,0,3,78,Melewati persimpangan
11:18,Gerobak_5,Gerobak,Patroli Lewat,RG_2,0,1,41,Melewati persimpangan
11:18,Gerobak_6,Gerobak,Patroli Lewat,RU_23,0,2,44,Melewati persimpangan
11:18,Truk_1,Truk,Terima Transfer,RU_12,15,0,38,Menerima muatan dari Gerobak_2
11:18,Truk_1,Truk,Patroli Lewat,RU_11,0,2,40,Melewati persimpangan
11:20,Gerobak_4,Gerobak,Patroli Lewat,RG_35,0,1,92,Melewati persimpangan
11:20,Truk_2,Truk,Patroli Lewat,RU_19,0,2,41,Melewati persimpangan
11:20,Truk_3,Truk,Patroli Lewat,RU_5,0,2,17,Melewati persimpangan
11:21,Gerobak_5,Gerobak,Ambil Sampah,RG_3,3,1,42,Intercept sampah! Sisa kapasitas: 3kg
11:21,Gerobak_7,Gerobak,Patroli Lewat,RU_10,0,2,39,Melewati persimpangan
11:21,Truk_1,Truk,Patroli Lewat,RU_41,0,2,42,Melewati persimpangan
11:23,Gerobak_4,Gerobak,Patroli Lewat,RG_36,0,1,93,Melewati persimpangan
11:23,Truk_2,Truk,Patroli Lewat,RU_18,0,2,43,Melewati persimpangan
11:23,Truk_3,Truk,Patroli Lewat,RU_6,0,2,19,Melewati persimpangan
11:24,Gerobak_1,Gerobak,Patroli Lewat,RU_59,0,2,80,Melewati persimpangan
11:24,Gerobak_2,Gerobak,Patroli Lewat,RU_11,0,2,85,Melewati persimpangan
11:24,Gerobak_6,Gerobak,Patroli Lewat,RU_22,0,3,47,Melewati persimpangan
11:24,Truk_1,Truk,Patroli Lewat,RU_42,0,2,44,Melewati persimpangan
11:26,Gerobak_4,Gerobak,Patroli Lewat,RG_37,0,1,94,Melewati persimpangan
11:26,Truk_2,Truk,Patroli Lewat,RU_17,0,2,45,Melewati persimpangan
11:26,Truk_3,Truk,Patroli Lewat,RU_7,0,2,21,Melewati persimpangan
11:27,Gerobak_3,Gerobak,Patroli Lewat,RU_14,0,3,81,Melewati persimpangan
11:27,Gerobak_7,Gerobak,Patroli Lewat,RU_11,0,2,41,Melewati persimpangan
11:27,Truk_1,Truk,Patroli Lewat,RU_43,0,2,46,Melewati persimpangan
11:29,Gerobak_4,Gerobak,Patroli Lewat,RG_38,0,1,95,Melewati persimpangan
11:29,Truk_2,Truk,Patroli Lewat,RU_16,0,2,47,Melewati persimpangan
11:29,Truk_3,Truk,Patroli Lewat,RU_8,0,2,23,Melewati persimpangan
11:30,Gerobak_1,Gerobak,Patroli Lewat,RU_60,0,2,82,Melewati persimpangan
11:30,Gerobak_2,Gerobak,Patroli Lewat,RU_10,0,2,87,Melewati persimpangan
11:30,Gerobak_5,Gerobak,Ambil Sampah,RG_4,3,1,43,Intercept sampah! Sisa kapasitas: 0kg
11:30,Truk_1,Truk,Patroli Lewat,RU_44,0,2,48,Melewati persimpangan
11:32,Gerobak_4,Gerobak,Patroli Lewat,RG_39,0,1,96,Melewati persimpangan
11:32,Truk_2,Truk,Patroli Lewat,RU_15,0,2,49,Melewati persimpangan
11:32,Truk_3,Truk,Patroli Lewat,RU_9,0,2,25,Melewati persimpangan
11:33,Gerobak_6,Gerobak,Patroli Lewat,RU_21,0,2,49,Melewati persimpangan
11:33,Gerobak_7,Gerobak,Patroli Lewat,RU_41,0,2,43,Melewati persimpangan
11:33,Truk_1,Truk,Patroli Lewat,RU_45,0,2,50,Melewati persimpangan
11:35,Gerobak_4,Gerobak,Patroli Lewat,RG_40,0,1,97,Melewati persimpangan
11:35,Truk_2,Truk,Patroli Lewat,RU_14,0,2,51,Melewati persimpangan
11:35,Truk_3,Truk,Patroli Lewat,RU_10,0,2,27,Melewati persimpangan
11:36,Gerobak_1,Gerobak,Buang ke TPS,TPS_2,5,2,84,Bongkar muatan di TPS_2
11:36,Gerobak_2,Gerobak,Patroli Lewat,RU_9,0,2,89,Melewati persimpangan
11:36,Gerobak_3,Gerobak,Patroli Lewat,RU_13,0,2,83,Melewati persimpangan
11:36,Truk_1,Truk,Patroli Lewat,RU_46,0,2,52,Melewati persimpangan
11:38,Gerobak_4,Gerobak,Patroli Lewat,RU_59,0,2,99,Melewati persimpangan
11:38,Truk_2,Truk,Patroli Lewat,RU_13,0,2,53,Melewati persimpangan
11:38,Truk_3,Truk,Patroli Lewat,RU_11,0,2,29,Melewati persimpangan
11:39,Gerobak_5,Gerobak,Patroli Lewat,RG_3,0,1,44,Melewati persimpangan
11:39,Gerobak_6,Gerobak,Patroli Lewat,RU_4,0,2,51,Melewati persimpangan
11:39,Gerobak_7,Gerobak,Patroli Lewat,RU_42,0,2,45,Melewati persimpangan
11:39,Truk_1,Truk,Patroli Lewat,RU_47,0,2,54,Melewati persimpangan
11:41,Truk_2,Truk,Patroli Lewat,RU_12,0,2,55,Melewati persimpangan
11:41,Truk_3,Truk,Patroli Lewat,RU_41,0,2,31,Melewati persimpangan
11:42,Gerobak_1,Gerobak,Patroli Lewat,RU_60,0,2,86,Melewati persimpangan
11:42,Gerobak_2,Gerobak,Patroli Lewat,RU_8,0,2,91,Melewati persimpangan
11:42,Gerobak_3,Gerobak,Patroli Lewat,RU_12,0,2,85,Melewati persimpangan
11:42,Gerobak_5,Gerobak,Patroli Lewat,RG_2,0,1,45,Melewati persimpangan
11:42,Truk_1,Truk,Patroli Lewat,RU_48,0,2,56,Melewati persimpangan
